Job Title,Company,Experience Needed,Salary,Vacancy Link
data analyst,Disha Consultants,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-disha-consultant-pune-chennai-jaipur-bangalore-bengaluru-2-to-4-years-140621501222
ESG Data Analyst - Alternative Data (Japanese Speaking),Institutional Shareholder Services,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-esg-data-analyst-alternative-data-japanese-speaking-institutional-shareholder-services-inc-mumbai-2-to-7-years-111121502431
Apprenticeship - Data Analyst - Goa,Cloudstrats Technologies Pvt Ltd,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-apprenticeship-data-analyst-goa-cloudstrats-technologies-pvt-ltd-panaji-panjim-goa-0-to-3-years-140423008429
Data Analyst,S&P Global Inc.,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-hyderabad-secunderabad-gurgaon-gurugram-ahmedabad-0-to-2-years-281122504322
Data Analyst,S&P Global Inc.,0-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-ahmedabad-0-to-6-years-091222502092
Data Analyst,S&P Global Inc.,0-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-ahmedabad-0-to-6-years-060123501179
Data Analyst,S&P Global Inc.,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-hyderabad-secunderabad-0-to-2-years-040323500343
Opening For Data Analyst,Jobuss Resources Pvt.ltd,2-7 Yrs,2-6 Lacs PA,https://www.naukri.com/job-listings-opening-for-data-analyst-jobuss-resources-pvt-ltd-mumbai-thane-mumbai-all-areas-2-to-7-years-170423003106
Data Analyst,Amazech Systems,5-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-amazech-systems-pvt-ltd-bangalore-bengaluru-5-to-7-years-180423003825
Data Analyst,Aventus Technology India,1-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-aventus-technology-india-bangalore-bengaluru-1-to-5-years-140423003650
Data Analyst,SignEasy,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-signeasy-bangalore-bengaluru-2-to-5-years-130423500421
Data Analyst,Exotrac,1-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-exotrac-bangalore-bengaluru-1-to-6-years-130423010031
Data Analyst,Globals Ites,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-globals-inc-bangalore-bengaluru-2-to-7-years-120423500563
Data analyst,Koch Industries,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-koch-business-solutions-india-private-limited-bangalore-bengaluru-2-to-4-years-110423907098
Compliance Rule Writer/Data Analyst,Xoom,3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-compliance-rule-writer-data-analyst-xoom-inc-chennai-bangalore-bengaluru-3-to-8-years-110423501716
HCL is hiring Data Analyst - Chennai,HCLTech,5-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-hcl-is-hiring-data-analyst-chennai-hcltech-chennai-5-to-8-years-280323007059
Data Analyst,Ziff Davis,5-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ziff-davis-mumbai-5-to-8-years-180423502044
Data Analyst,Vipre Security Group,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-vipre-security-group-mumbai-5-to-10-years-170423501908
Omnichannel Data Analyst,Mirum,3-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-omnichannel-data-analyst-mirum-india-formerly-social-wavelength-mumbai-3-to-4-years-170423501315
Data Analyst,"Retailmenot, Inc.",5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-retailmenot-inc-mumbai-5-to-10-years-170423500798
Data Analyst,J2 Cloud Services,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-j2-cloud-services-mumbai-5-to-10-years-170423500789
Data Analyst,Acme Services,2-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-acme-services-mumbai-2-to-6-years-170423500122
Data Analyst,Mirum,4-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-mirum-digital-pvt-ltd-mumbai-4-to-6-years-120423502073
Data Analyst ( Robot Framework ),NR Consulting,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-robot-framework-nr-consulting-bangalore-bengaluru-3-to-6-years-180423502083
Data Analyst,NR Consulting,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-nr-consulting-bangalore-bengaluru-2-to-7-years-170423501693
Data Analyst,Megma Services,1-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-megma-services-mumbai-1-to-6-years-170423905372
Data Analyst,Megma Services,1-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-megma-services-mumbai-1-to-6-years-130423905064
"Data Analyst
",IDESLABS PRIVATE LIMITED,8-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-mumbai-8-to-10-years-180423910405
Data Analyst,Tekskills India,2-6 Yrs,1-4.5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-tekskills-india-mumbai-2-to-6-years-170423006182
Data Analyst,Randstad India,1-6 Yrs,1-4 Lacs PA,https://www.naukri.com/job-listings-data-analyst-randstad-india-pune-1-to-6-years-080423000018
Data Analyst,Clarivate,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-clarivate-analytics-bangalore-bengaluru-2-to-4-years-240323500152
Data Services Analyst,Insent,6-9 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-services-analyst-insent-chennai-6-to-9-years-250423501569
Data Analyst,Excellence And Eminence,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-excellence-and-eminence-llp-bangalore-bengaluru-2-to-5-years-010223500631
Data Analyst,Utkarsh Small Finance Bank,5-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-utkarsh-small-finance-bank-mumbai-5-to-8-years-281020500908
Data Analyst,Augie,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-augie-pets-india-pvt-limited-bangalore-bengaluru-0-to-3-years-290822500368
Data Analyst,Novel Office,0-2 Yrs,1.5-3 Lacs PA,https://www.naukri.com/job-listings-data-analyst-novel-office-bangalore-bengaluru-0-to-2-years-280223012450
Data Analyst,St. John’s Research Institute,0-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-st-john-s-research-institute-bengaluru-bangalore-0-to-4-years-210121501464
Data Analyst,Rystad Energy,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-rystad-energy-india-private-limited-bangalore-bengaluru-0-to-3-years-160922502345
Data Analyst- Yulu Energy,Yulu Bikes,0-1 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-yulu-energy-yulu-bike-bangalore-bengaluru-0-to-1-years-160223502171
Data Analyst,Bsharp,0-1 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-bsharp-sales-enablers-hyderabad-secunderabad-ahmedabad-bangalore-bengaluru-0-to-1-years-101122501949
Data Analyst,Gosource Digihub,0-1 Yrs,2-3 Lacs PA,https://www.naukri.com/job-listings-data-analyst-gosource-digihub-mumbai-all-areas-0-to-1-years-030423007045
Data Analyst,P S International HR Consultants,0-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-p-s-international-hr-consultants-mumbai-0-to-4-years-081022500461
Data Analyst,AgreeYa Solutions,3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-agreeya-solutions-noida-3-to-7-years-280323914641
Data Analyst,Cedcoss Technologies,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-cedcoss-technologies-lucknow-3-to-6-years-180423008181
Data & Mi Analyst,Standard Chartered Bank,2-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-mi-analyst-standard-chartered-bank-ltd-bangalore-bengaluru-2-to-6-years-120423500313
Alteryx Data Analyst,Anb Co,3-5 Yrs,6-16 Lacs PA,https://www.naukri.com/job-listings-alteryx-data-analyst-anb-co-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-5-years-200423006928
Data Analyst,Cohire Solutions,0-4 Yrs,3-4 Lacs PA,https://www.naukri.com/job-listings-data-analyst-cohire-solutions-mumbai-mumbai-all-areas-0-to-4-years-060423009939
Data Analyst,Quickxpert Infotech,0-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-quickxpert-infotech-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262
Data Annotation Analyst,Open Door,0-1 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-annotation-analyst-opendoor-chennai-0-to-1-years-200423501490
